"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
40,2022,214,2,2,1,0,6,0.194,222.1,0.184299635,0.050138132,0.052764893,0.151796341,0.182548523,0.213962555,0.246012115,0.393173218
40,2022,257,2,3,0,1,5,0.158,135.93,0.107520414,0.029559215,0.041526794,0.085996628,0.10308075,0.123138428,0.148715973,0.198913574
40,2023,157,2,1,NA,0,5,0.592,733.3,0.5705033,0.061654082,0.349021912,0.535636902,0.578872681,0.613113403,0.641838074,0.708175659
40,2023,221,2,2,NA,1,8,0.33,308.22,0.24740192,0.035210122,0.168968201,0.22326088,0.240856171,0.266801834,0.292137146,0.389625549
40,2023,265,2,3,NA,2,8,0.182,136.89,0.111705463,0.027300345,0.010726929,0.098888397,0.114059448,0.127910614,0.144393921,0.175308228
41,2022,165,2,1,0,2,NA,0.642,912.82,0.522398144,0.096448783,0.231941223,0.452537537,0.515129089,0.597816467,0.648405457,0.829338074
41,2022,214,2,2,0,0,NA,0.248,256.28,0.224384133,0.020858858,0.116668701,0.209064484,0.227428436,0.239238739,0.248885345,0.274414063
41,2022,257,2,3,0,1,NA,0.142,103.66,0.085205277,0.0229652,0.035423279,0.06804657,0.081359863,0.100982666,0.116716003,0.158615112
41,2023,157,2,1,NA,0,4,0.608,651.73,0.561208426,0.081417713,0.210525513,0.520536423,0.563587189,0.604179382,0.660247803,0.765075684
41,2023,221,2,2,NA,2,NA,0.302,287.14,0.180077159,0.034894827,0.08001709,0.155418396,0.177764893,0.209470749,0.225104523,0.264701843
41,2023,265,2,3,NA,2,NA,0.166,111.6,0.10257743,0.023801583,0.041229248,0.085243225,0.10326004,0.119562149,0.130560303,0.185188293
42,2022,165,2,1,0,2,5,0.28,737.5,0.302699134,0.060063141,0.150604248,0.259140015,0.302345276,0.349403381,0.378192139,0.441696167
42,2022,214,2,2,1,0,5,0.14,107.01,0.11801285,0.035570299,0.023460388,0.093139648,0.114883423,0.138406754,0.162729645,0.257591248
42,2022,257,2,3,1,2,4,0.144,109.81,0.092460146,0.024795644,0.032676697,0.076034546,0.091697693,0.107460022,0.123921204,0.188362122
42,2023,157,2,1,NA,0,6,0.68,1104.73,0.712517455,0.068881524,0.404327393,0.674610138,0.723155975,0.762243271,0.786255646,0.843399048
42,2023,221,2,2,NA,2,6,0.31,504.02,0.17834042,0.042489457,0.069763184,0.15096283,0.174331665,0.208255768,0.226615906,0.310020447
42,2023,265,2,3,NA,1,10,0.18,119.14,0.098375781,0.027972619,0.015258789,0.082206726,0.102878571,0.117948532,0.129035187,0.186523438
43,2022,165,2,1,0,2,NA,0.438,835.85,0.472679242,0.083626459,0.200843811,0.4255867,0.468158722,0.518672943,0.597141266,0.670417786
43,2022,214,2,2,1,0,NA,0.114,72.52,0.078112192,0.021771388,0.03263855,0.064804077,0.075798035,0.087226868,0.106864929,0.164924622
43,2022,257,2,3,0,0,NA,0.11,28.6,0.061279028,0.016508309,0.011222839,0.050876617,0.059173584,0.070404053,0.081731415,0.127700806
